num,m,r,zh,,id,d,da,,
17,ᠠᠪᠠ/ᠠᠪᠠᠯᠠᠮᠪᡳ,aba/abalambi,打围,,2,03/07/2017 23:14:42,07/06/2015 23:14:42,,
18,ᠠᠪᠠᡳ ᡝᠪᡠᠪᡠᠨ,abai ebubun,归妹,,2,03/08/2017 00:14:42,07/07/2015 01:14:42,,
19,ᠠᠪᠠᡴᠠᠨᠠ,abakana,一天二地,,2,03/08/2017 01:14:42,07/07/2015 03:14:42,,
20,ᠠᠪᠠᠯᠠᠪᡠᠮᠪᡳ,abalabumbi,使打围,,2,03/08/2017 02:14:42,07/07/2015 05:14:42,,
21,ᠠᠪᠠᠯᠠᡥᠠᡳ,abalahai,正行打围,,2,03/08/2017 03:14:42,07/07/2015 07:14:42,,
22,ᠠᠪᠠᠯᠠᠮᠪᡳ,abalambi,打猎 | 打猎，狩猎,,2,03/08/2017 04:14:42,07/07/2015 09:14:42,,
23,ᠠᠪᠠᠯᠠᠮᡝ ᡶᡳᠶᡝᠯᡝᡵᡝ,abalame fiyelere,步猎,,2,03/08/2017 05:14:42,07/07/2015 11:14:42,,
24,ᠠᠪᠠᠯᠠᠮᡝ ᠮᡳᠯᡳᡝᠮᠪᡳ,abalame miliembi,猎较,,2,03/08/2017 06:14:42,07/07/2015 13:14:42,,
25,ᠠᠪᠠᠯᠠᠨᡩᡠᠮᠪᡳ,abalandumbi,一齐打围,,2,03/08/2017 07:14:42,07/07/2015 15:14:42,,
26,ᠠᠪᠠᠯᠠᠨᠵᡳᠮᠪᡳ,abalanjimbi,来打围,,2,03/08/2017 08:14:42,07/07/2015 17:14:42,,
27,ᠠᠪᠠᠯᠠᠨᠨᡠᠮᠪᡳ,abalannumbi,一齐打围,,2,03/08/2017 09:14:42,07/07/2015 19:14:42,,
28,ᠠᠪᠠᠯᠠᡵᠠ ᡳᠨᡩᠠᡥᡡᠨ,abalara indahvn,猎狗,,2,03/08/2017 10:14:42,07/07/2015 21:14:42,,
29,ᠠᠪᠠᠯᠠᡵᠠ ᠮᡳᠶᠣᠣᠴᠠᠨ,abalara miyoocan,猎枪,,2,03/08/2017 11:14:42,07/07/2015 23:14:42,,
30,ᠠᠪᠠᠯᠠᠰᡳ,abalasi,猎人，猎手,,2,03/08/2017 12:14:42,07/08/2015 01:14:42,,
31,ᠠᠪᡩᠠᡥᠠ,abdaha,叶子 | 叶，叶子 | 叶,,2,03/08/2017 13:14:42,07/08/2015 03:14:42,,
32,ᠠᠪᡩᠠᡥᠠ  ᡳ ᡶᡳᠰᠠ,abdaha I fisa,叶柄,,2,03/08/2017 14:14:42,07/08/2015 05:14:42,,
33,ᠠᠪᡩᠠᡥᠠ ᠠᡳᠰᡳᠨ,abdaha aisin,叶子金,,2,03/08/2017 15:14:42,07/08/2015 07:14:42,,
34,ᠠᠪᡩᠠᡥᠠ ᡝᡶᡝᠨ,abdaha efen,叶子饽饽,,2,03/08/2017 16:14:42,07/08/2015 09:14:42,,
35,ᠠᠪᡩᠠᡥᠠ ᡶᡳᡴ ᠰᡝᠮᡝ,abdaha fik seme,维叶莫莫,,2,03/08/2017 17:14:42,07/08/2015 11:14:42,,
36,ᠠᠪᡩᠠᡥᠠ ᡤᠠᡵᡤᠠᠨ,abdaha gargan,叶枝,,2,03/08/2017 18:14:42,07/08/2015 13:14:42,,
37,ᠠᠪᡩᠠᡥᠠ ᠰᡳᡥᠠᠮᠪᡳ,abdaha sihambi,落叶,,2,03/08/2017 19:14:42,07/08/2015 15:14:42,,
38,ᠠᠪᡩᠠᡥᠠᠨᠠᠮᠪᡳ,abdahanambi,长叶子,,2,03/08/2017 20:14:42,07/08/2015 17:14:42,,
39,ᠠᠪᡩᠠᠯᠠᠮᠪᡳ,abdalambi,折枝之折,,2,03/08/2017 21:14:42,07/08/2015 19:14:42,,
40,ᠠᠪᡩᠠᠯᠠᠮᡝ ᠪᠠᠨᠵᡳᡥᠠ,abdalame banjiha,生长成叶子,,2,03/08/2017 22:14:42,07/08/2015 21:14:42,,
41,ᠠᠪᡩᠠᠯᠠᠨ,abdalan,令人折,,2,03/08/2017 23:14:42,07/08/2015 23:14:42,,
42,ᠠᠪᡩᠠᠨᡤᡤᠠ ᠠᡶᠠᡥᠠ,abdangga afaha,册页,,2,03/09/2017 00:14:42,07/09/2015 01:14:42,,
43,ᠠᠪᡩᠠᠨᡤᡤᠠ ᠪᡳᡨᡥᡝ,abdangga bithe,册,,2,03/09/2017 01:14:42,07/09/2015 03:14:42,,
44,ᠠᠪᡩᠠᠨᡤᡤᠠ ᡶᡠᠨᡤᠨᡝᡥᡝᠨ,abdangga fungnehen,册,,2,03/09/2017 02:14:42,07/09/2015 05:14:42,,
45,ᠠᠪᡩᠠᠨᡤᡤᠠ ᡳᠯᡝᡨᡠᠯᡝᡥᡝᠨ,abdangga iletulehen,册宝之册,,2,03/09/2017 03:14:42,07/09/2015 07:14:42,,
46,ᠠᠪᡩᠠᠨᡤᡤᠠ ᠮᠣᠣ,abdangga moo,蒲葵,,2,03/09/2017 04:14:42,07/09/2015 09:14:42,,
47,ᠠᠪᡩᠠᡵᠠᡴᡠ,abdaraku,不折,,2,03/09/2017 05:14:42,07/09/2015 11:14:42,,
48,ᠠᠪᡩᠠᡵᡳ,abdari,闲居,,2,03/09/2017 06:14:42,07/09/2015 13:14:42,,
49,ᠠᠪᡩᠠᡵᡳ ᠠᠯᠠ,abdari ala,阿布达里岗,,2,03/09/2017 07:14:42,07/09/2015 15:14:42,,
50,ᠠᠪᡩᠠᡵᡳ ᠪᠠᠨᠵᡳᠮᠪᡳ,abdari banjimbi,暇逸之暇,,2,03/09/2017 08:14:42,07/09/2015 17:14:42,,
51,ᠠᠪᡤᠠᡵᡳ,abgari,闲暇的,,2,03/09/2017 09:14:43,07/09/2015 19:14:43,,
52,ᠠᠪᡥᠠ ᠪᡝ ᡤᡳᠨᡤᡤᡠᠯᡝᡵᡝ ᠶᠠᠮᡠᠨ  ᡳ ᠠᠯᡳᡥᠠ ᡥᠠᡶᠠᠨ,abha be ginggulere yamun I aliha hafan,钦天监监正,,2,03/09/2017 10:14:43,07/09/2015 21:14:43,,
53,ᠠᠪᡥᠠ ᠪᡝ ᡤᡳᠨᡤᡤᡠᠯᡝᡵᡝ ᠶᠠᠮᡠᠨ  ᡳ ᡳᠯᡥᡳ ᡥᠠᡶᠠᠨ,abha be ginggulere yamun I ilhi hafan,钦天监监副,,2,03/09/2017 11:14:43,07/09/2015 23:14:43,,
54,ᠠᠪᡥᠠ ᡨᡠᠯᡥᡠᠰᡥᡝᠮᠪᡳ,abha tulhushembi,天阴了,,2,03/09/2017 12:14:43,07/10/2015 01:14:43,,
55,ᠠᠪᡳᡩᠠ,abida,阿弥陀 | 何在,,2,03/09/2017 13:14:43,07/10/2015 03:14:43,,
56,ᠠᠪᡳᡩᠠ ᠪᡳ,abida bi,在何处有,,2,03/09/2017 14:14:43,07/10/2015 05:14:43,,
57,ᠠᠪᡳᠵᡳ ᠨᠠ  ᡳ ᡤᡳᠨᡩᠠᠨᠠ,abiji na I gindana,阿鼻地狱,,2,03/09/2017 15:14:43,07/10/2015 07:14:43,,
58,ᠠᠪᡳᠮᠪᡳ,abimbi,肿,,2,03/09/2017 16:14:43,07/10/2015 09:14:43,,
59,ᠠᠪᡳᠰᡥᡠᡠᠨ,abishuun,肿肿的,,2,03/09/2017 17:14:43,07/10/2015 11:14:43,,
60,ᠠᠪᡴᠠ,abka,天，天空，天气，上帝，苍天 | 天 | 天地之天,,2,03/09/2017 18:14:43,07/10/2015 13:14:43,,
61,ᠠᠪᡴᠠ ᠪᡝ ᠠᠯᡳᡵᡝ ᠮᡝᡩᡝᡵᡳ ᠪᡝ ᠠᡴᡠᠨᠠᡵᠠ ᡝᡵᡩᡝᠮᡠ,abka be alire mederi be akunara erdemu,擎天架海之才,,2,03/09/2017 19:14:43,07/10/2015 15:14:43,,
62,ᠠᠪᡴᠠ ᠪᡝ ᡤᡳᠨᡤᡤᡠᠯᡝᡵᡝ ᠶᠠᠮᡠᠨ,abka be ginggulere yamun,钦天监,,2,03/09/2017 20:14:43,07/10/2015 17:14:43,,
63,ᠠᠪᡴᠠ ᠪᡝ ᡥᡠᡴᠰᡥᡝᠮᡝ ᠨᠠ ᠪᡝ ᡶᡝᡴᡠᡵᡝ,abka be huksheme na be fekure,顶天立地,,2,03/09/2017 21:14:43,07/10/2015 19:14:43,,
64,ᠠᠪᡴᠠ ᠪᡝ ᡠᡴᠴᡳᠪᡠᠮᡝ ᠨᡳᠶᠠᠯᠮᠠ ᠪᡝ ᡠᠰᡥᠠᠪᡠᠮᠪᡳ,abka be ukcibume niyalma be ushabumbi,天怒人怨,,2,03/09/2017 22:14:43,07/10/2015 21:14:43,,
65,ᠠᠪᡴᠠ ᡩᡝ ᡤᠠᠰᠠᠮᡝ ᠨᡳᠶᠠᠯᠮᠠ ᠪᡝ ᠸᠠᡴᠠᠯᠠᠮᠪᡳ,abka de gasame niyalma be wakalambi,怨天尤人,,2,03/09/2017 23:14:43,07/10/2015 23:14:43,,
66,ᠠᠪᡴᠠ ᡩᡝ ᡤᠠᠰᠠᡵᠠᡥᡠᡠ ᠨᡳᠶᠠᠯᠮᠠ ᠪᡝ ᠸᠠᡴᠠᠯᠠᡵᠠᡴᡠᡠ,abka de gasarahuu niyalma be wakalarakuu,不怨天尤人,,2,03/10/2017 00:14:43,07/11/2015 01:14:43,,
67,ᠠᠪᡴᠠ ᡩᡝ ᠰᡠᠴᡠᠨᠠᡵᠠ ᡤᡠᠨᡳᠨ,abka de sucunara gunin,冲天之志,,2,03/10/2017 01:14:43,07/11/2015 03:14:43,,
68,ᠠᠪᡴᠠ ᡩᡠᠰᡳᡥᡳᠶᡝᠨ ᠣᡥᠣ,abka dusihiyen oho,雾云遮天昏暗了,,2,03/10/2017 02:14:43,07/11/2015 05:14:43,,
69,ᠠᠪᡴᠠ ᡝᡥᡝᡵᡝᡥᡝ,abka eherehe,天变了,,2,03/10/2017 03:14:43,07/11/2015 07:14:43,,
70,ᠠᠪᡴᠠ ᡝᡥᡝᡵᡝᠮᠪᡳ,abka eherembi,变天,,2,03/10/2017 04:14:43,07/11/2015 09:14:43,,
71,ᠠᠪᡴᠠ ᡶᠠᡵᡥᡠᡠᠨ ᠣᡥᠣ,abka farhuun oho,天暗了,,2,03/10/2017 05:14:43,07/11/2015 11:14:43,,
72,ᠠᠪᡴᠠ ᡶᡠᠨᡩᡝᡥᡠᠨ,abka fundehun,天气肃清,,2,03/10/2017 06:14:43,07/11/2015 13:14:43,,
73,ᠠᠪᡴᠠ ᡤᠠᡵᡥᠠ,abka garha,天晴,,2,03/10/2017 07:14:43,07/11/2015 15:14:43,,
74,ᠠᠪᡴᠠ ᡤᡝᠨᡤᡤᡳᠶᡝᠨ ᠨᠠ ᡳᠯᡨᡠ,abka genggiyen na iltu,天明地察,,2,03/10/2017 08:14:43,07/11/2015 17:14:43,,
75,ᠠᠪᡴᠠ ᡤᡝᠨᡤᡤᡳᠶᡝᠨ ᠰᡠᡴᡩᡠᠨ ᠪᠣᠯᡤᠣ,abka genggiyen sukdun bolgo,天朗气清,,2,03/10/2017 09:14:43,07/11/2015 19:14:43,,
76,ᠠᠪᡴᠠ ᡤᡝᡵᡝᡴᡝ,abka gereke,天亮了,,2,03/10/2017 10:14:43,07/11/2015 21:14:43,,
77,ᠠᠪᡴᠠ ᡤᡝᡵᡝᠮᠪᡳ,abka gerembi,天亮,,2,03/10/2017 11:14:43,07/11/2015 23:14:43,,
78,ᠠᠪᡴᠠ ᡥᡝᠶᡝᠨᡝᡥᡝᠪᡳ,abka heyenehebi,天带微云,,2,03/10/2017 12:14:43,07/12/2015 01:14:43,,
79,ᠠᠪᡴᠠ ᠨᠠ  ᡳ ᡨᠣᠨ,abka na I ton,天地之数,,2,03/10/2017 13:14:43,07/12/2015 03:14:43,,
80,ᠠᠪᡴᠠ ᠰᠠᡵᡠ,abka saru,天知道,,2,03/10/2017 14:14:43,07/12/2015 05:14:43,,
81,ᠠᠪᡴᠠ ᠰᡥᡠ ᠨᠠ  ᡳ ᡤᡳᠶᠠᠨ,abka shu na I giyan,天文地理,,2,03/10/2017 15:14:43,07/12/2015 07:14:43,,
82,ᠠᠪᡴᠠ ᡨᡠᠯᡥᡠᠨ,abka tulhun,天阴,,2,03/10/2017 16:14:43,07/12/2015 09:14:43,,
83,ᠠᠪᡴᠠ ᡨᡠᠯᡥᡠᠨ ᠣᠮᠪᡳ,abka tulhun ombi,天阴,,2,03/10/2017 17:14:43,07/12/2015 11:14:43,,
84,ᠠᠪᡴᠠ ᡨᡠᠯᡥᡠᡧᡝᠮᠪᡳ,abka tulhuxembi,天阴,,2,03/10/2017 18:14:43,07/12/2015 13:14:43,,
85,ᠠᠪᡴᠠ ᡠᡵᡳᠮᡝ ᠨᠠ ᡧᡠᠨᡤᡴᡠᠮᠪᡳ,abka urime na xungkumbi,天崩地裂,,2,03/10/2017 19:14:43,07/12/2015 15:14:43,,
86,ᠠᠪᡴᠠᡳ,abkai,天,,2,03/10/2017 20:14:43,07/12/2015 17:14:43,,
87,ᠠᠪᡴᠠᡳ ᠠᡵᠠᠪᡠᡥᠠ ᡥᠣᠯᠪᠣᠨ,abkai arabuha holbon,天作之合,,2,03/10/2017 21:14:43,07/12/2015 19:14:43,,
88,ᠠᠪᡴᠠᡳ ᠠᡵᡳ,abkai ari,狂妄很坏之人无一处不到淘气轻佻人，通天鬼名,,2,03/10/2017 22:14:43,07/12/2015 21:14:43,,
89,ᠠᠪᡴᠠᡳ ᠠᠰᡠ,abkai asu,天网,,2,03/10/2017 23:14:43,07/12/2015 23:14:43,,
90,ᠠᠪᡴᠠᡳ ᠠᠰᡠ ᠠᠮᠪᠠ,abkai asu amba,天网恢恢,,2,03/11/2017 00:14:43,07/13/2015 01:14:43,,
91,ᠠᠪᡴᠠᡳ ᠪᠠᠨᠵᡳᠪᡠᠨᡤᡤᠠ ᡝᠨᡩᡠᡵᡳ,abkai banjibungga enduri,天后神,,2,03/11/2017 01:14:43,07/13/2015 03:14:43,,
92,ᠠᠪᡴᠠᡳ ᠪᡠᡥᡠᠨᡤᡤᡝ ᡴᡳᡵᡠ,abkai buhungge kiru,天鹿祺,,2,03/11/2017 02:14:43,07/13/2015 05:14:43,,
93,ᠠᠪᡴᠠᡳ ᠪᡠᡥᡠᡠ,abkai buhuu,天鹿,,2,03/11/2017 03:14:43,07/13/2015 07:14:43,,
94,ᠠᠪᡴᠠᡳ ᠪᡠᡨᡝᠨ,abkai buten,天涯，天边 | 天涯,,2,03/11/2017 04:14:44,07/13/2015 09:14:44,,
95,ᠠᠪᡴᠠᡳ ᠪᡠᠶᡝᠴᡠᠨᡤᡤᡝ&nbsp;ᡳᠨᡝᠩᡤᡳ,abkai buyecungge inenggi,1，指正月乙亥二月甲戌三月乙酉四月丙辰五月丁未六月戊午七月已已八月庚辰九月辛卯十月壬寅十一月癸丑十二月甲子。2，愿日,,2,03/11/2017 05:14:44,12/09/2018 17:01:13,,
96,ᠠᠪᡴᠠᡳ ᠴᠣᠣᡥᠠ,abkai cooha,天兵,,2,03/11/2017 06:14:44,07/13/2015 13:14:44,,
97,ᠠᠪᡴᠠᡳ ᡩᠠᡳᡳᠯᠠᠨ,abkai daiilan,天兵,,2,03/11/2017 07:14:44,07/13/2015 15:14:44,,
98,ᠠᠪᡴᠠᡳ ᡩᡝᠨᡤᠵᠠᠨ,abkai dengjan,天讨,,2,03/11/2017 08:14:44,07/13/2015 17:14:44,,
99,ᠠᠪᡴᠠᡳ ᡩᡠᡴᠠ ᠪᡝ ᠨᡝᡳᡵᡝ ᠮᡠᡩᠠᠨ,abkai duka be neire mudan,启天门之章,,2,03/11/2017 09:14:44,07/13/2015 19:14:44,,
100,ᠠᠪᡴᠠᡳ ᡩᡠᡵᡠᠨᡤᡤᠠ ᡨᡝᡨᡠᠨ,abkai durungga tetun,天体仪,,2,03/11/2017 10:14:44,07/13/2015 21:14:44,,
101,ᠠᠪᡴᠠᡳ ᡝᠯᡥᡝ ᠣᠪᡠᡵᡝ ᡩᡠᡴᠠ,abkai elhe obure duka,天安门,,2,03/11/2017 11:14:44,07/13/2015 23:14:44,,
102,ᠠᠪᡴᠠᡳ ᡝᠨᡩᡠᡵᡳ ᠮᡠᡴᡩᡝᡥᡝᠨ,abkai enduri mukdehen,天神坛,,2,03/11/2017 12:14:44,07/14/2015 01:14:44,,
103,ᠠᠪᡴᠠᡳ ᡝᡵᡳᠨ,abkai erin,天时,,2,03/11/2017 13:14:44,07/14/2015 03:14:44,,
104,ᠠᠪᡴᠠᡳ ᡝᡵᡳᠨ ᡧᡵᡩᡝᠮᡝ ᡶᠣᡵᡤᠣᡧᠣᠮᠪᡳ,abkai erin xrdeme forgoxombi,天运循环,,2,03/11/2017 14:14:44,07/14/2015 05:14:44,,
105,ᠠᠪᡴᠠᡳ ᡶᡝᠵᡝᡵᡤᡳ ᠪᡝ ᡝᠮᡠ ᠣᠪᡠᠮᠪᡳ,abkai fejergi be emu obumbi,一统天下,,2,03/11/2017 15:14:44,07/14/2015 07:14:44,,
106,ᠠᠪᡴᠠᡳ ᡶᡝᠵᡝᡵᡤᡳ ᠪᡝ ᡳᠵᡳᠰᡥᡠᡠᠨ ᠣᠪᡠᠮᠪᡳ,abkai fejergi be ijishuun obumbi,以顺天下,,2,03/11/2017 16:14:44,07/14/2015 09:14:44,,
107,ᠠᠪᡴᠠᡳ ᡶᡝᠵᡝᡵᡤᡳ ᡠᡵᡤᡠᠨᠵᡳᠮᠪᡳ,abkai fejergi urgunjimbi,天下熙熙,,2,03/11/2017 17:14:44,07/14/2015 11:14:44,,
108,ᠠᠪᡴᠠᡳ ᡶᡝᠵᡳᡵᡤᡳ ᡩᡝ ᠮᠠᠨᡤᡤᠠ ᠪᠠᡳᡳᡨᠠ,abkai fejirgi de mangga baiita,天下无难事,,2,03/11/2017 18:14:44,07/14/2015 13:14:44,,
109,ᠠᠪᡴᠠᡳ ᡶᠣᠨᠵᡳᠨ,abkai fonjin,天问,,2,03/11/2017 19:14:44,07/14/2015 15:14:44,,
110,ᠠᠪᡴᠠᡳ ᡶᡠᠯᡳᠨᡤᡤᠠ,abkai fulingga,天命，太祖高皇帝年号,,2,03/11/2017 20:14:44,07/14/2015 17:14:44,,
111,ᠠᠪᡴᠠᡳ ᡤᠣᠰᡳᠮᡝ ᡩᡠᡴᠠ,abkai gosime duka,天佑门,,2,03/11/2017 21:14:44,07/14/2015 19:14:44,,
112,ᠠᠪᡴᠠᡳ ᡤᡠᡵᡤᡠ,abkai gurgu,开明兽,,2,03/11/2017 22:14:44,07/14/2015 21:14:44,,
113,ᠠᠪᡴᠠᡳ ᡤᡠᠸᡝᠪᡠᡥᡝᠨ&nbsp;ᡳᠨᡝᠩᡤᡳ,abkai guwebuhen inenggi,天赦日,,2,03/11/2017 23:14:44,12/09/2018 17:00:59,,
114,ᠠᠪᡴᠠᡳ ᡥᠠᠨ,abkai han,上帝,,2,03/12/2017 00:14:44,07/15/2015 01:14:44,,
115,ᠠᠪᡴᠠᡳ ᡥᠠᠨ  ᡳ ᡩᡝᠶᡝᠨ,abkai han I deyen,皇乾殿,,2,03/12/2017 01:14:44,07/15/2015 03:14:44,,
116,ᠠᠪᡴᠠᡳ ᡥᠠᠨ  ᡳ ᠣᡵᡩᠣ,abkai han I ordo,皇弯宇,,2,03/12/2017 02:14:44,07/15/2015 05:14:44,,
117,ᠠᠪᡴᠠᡳ ᡥᡝᠰᡝ,abkai hese,天命,,2,03/12/2017 03:14:44,07/15/2015 07:14:44,,
118,ᠠᠪᡴᠠᡳ ᡥᡝᠰᡝᠪᡠᡥᡝ ᠪᡝ ᠪᠠᠨᡳᠨ ᠰᡝᠮᠪᡳ,abkai hesebuhe be banin sembi,天命谓之性,,2,03/12/2017 04:14:44,07/15/2015 09:14:44,,
119,ᠠᠪᡴᠠᡳ ᡥᠣᡵᡤᡳᡴᡠᡠ,abkai horgikuu,天之枢,,2,03/12/2017 05:14:44,07/15/2015 11:14:44,,
120,ᠠᠪᡴᠠᡳ ᡥᠣᡵᠣᠨ,abkai horon,天威,,2,03/12/2017 06:14:44,07/15/2015 13:14:44,,
121,ᠠᠪᡴᠠᡳ ᡥᠣᡵᠣᠨ ᡩᡝ ᠠᡴᡩᠠᡶᡳ,abkai horon de akdafi,仰仗天威,,2,03/12/2017 07:14:44,07/15/2015 15:14:44,,
122,ᠠᠪᡴᠠᡳ ᡥᡠᠸᠠᠯᡳᠶᠠᠰᡠᠨ,abkai huwaliyasun,天和,,2,03/12/2017 08:14:44,07/15/2015 17:14:44,,
123,ᠠᠪᡴᠠᡳ ᡳᡴᡨᠠᠪᡠᡥᠠ ᡝᠨᡨᡝᡥᡝᠮᡝ ᡤᡠᡵᡠᠨ,abkai iktabuha enteheme gurun,天府之国,,2,03/12/2017 09:14:44,07/15/2015 19:14:44,,
124,ᠠᠪᡴᠠᡳ ᡳᠮᡳᠶᠠᠨᡤᡤᠠ ᡶᡠ,abkai imiyangga fu,奉天府,,2,03/12/2017 10:14:44,07/15/2015 21:14:44,,
125,ᠠᠪᡴᠠᡳ ᡳᠮᡳᠶᠠᠨᡤᡤᠠ ᡤᠣᠯᠣ  ᡳ ᠪᠣᠯᡤᠣᠪᡠᡵᡝ ᡶᡳᠶᡝᠨᡨᡝᠨ,abkai imiyangga golo I bolgobure fiyenten,奉天清吏司,,2,03/12/2017 11:14:44,07/15/2015 23:14:44,,
126,ᠠᠪᡴᠠᡳ ᡳᠨᡩᠠᡥᡠᡠᠨ,abkai indahuun,天狗,,2,03/12/2017 12:14:44,07/16/2015 01:14:44,,
127,ᠠᠪᡴᠠᡳ ᠵᠠᠪᡧᠠᠨ,abkai jabxan,天幸,,2,03/12/2017 13:14:44,07/16/2015 03:14:44,,
128,ᠠᠪᡴᠠᡳ ᠵᡠᡳ,abkai jui,天子,,2,03/12/2017 14:14:44,07/16/2015 05:14:44,,
129,ᠠᠪᡴᠠᡳ ᡴᡝᠰᡳᠨᡤᡤᡝ&nbsp;ᡳᠨᡝᠩᡤᡳ,abkai kesingge inenggi,天恩日,,2,03/12/2017 15:14:44,12/09/2018 17:00:42,,
130,ᠠᠪᡴᠠᡳ ᠮᠣᡵᡳᠨ,abkai morin,天马,,2,03/12/2017 16:14:44,07/16/2015 09:14:44,,
131,ᠠᠪᡴᠠᡳ ᠮᠣᡵᡳᠨᡤᡤᠠ ᡴᡳᡵᡠ,abkai moringga kiru,天马旗,,2,03/12/2017 17:14:44,07/16/2015 11:14:44,,
132,ᠠᠪᡴᠠᡳ ᠮᡠᡴᡩᡝᡥᡝᠨ,abkai mukdehen,天坛,,2,03/12/2017 18:14:44,07/16/2015 13:14:44,,
133,ᠠᠪᡴᠠᡳ ᠰᠠᠯᡤᠠᡤᡠᡥᠠ ᠰᡠᡵᡝ,abkai salgaguha sure,天从之资,,2,03/12/2017 19:14:44,07/16/2015 15:14:44,,
134,ᠠᠪᡴᠠᡳ ᠰᡳᡥᡳᠶᠠᡴᡠᡠ,abkai sihiyakuu,天之枢,,2,03/12/2017 20:14:44,07/16/2015 17:14:44,,
135,ᠠᠪᡴᠠᡳ ᠰᡠᡴᡩᡠᠨ,abkai sukdun,天气,,2,03/12/2017 21:14:44,07/16/2015 19:14:44,,
136,ᠠᠪᡴᠠᡳ ᡨᠠᠨᡤᡤᡳᠨ,abkai tanggin,天堂,,2,03/12/2017 22:14:44,07/16/2015 21:14:44,,
137,ᠠᠪᡴᠠᡳ ᡨᡝᠨ  ᡳ ᡠᠰᡳᡥᠠ,abkai ten I usiha,天极星（又各北辰北极星）,,2,03/12/2017 23:14:44,07/16/2015 23:14:44,,
138,ᠠᠪᡴᠠᡳ ᡨᡠᡵᠠᡳ ᠠᠯᡳᠨ,abkai turai alin,天柱山,,2,03/13/2017 00:14:44,07/17/2015 01:14:44,,
139,ᠠᠪᡴᠠᡳ ᡠᠯᠠᡥᠠ,abkai ulaha,天授,,2,03/13/2017 01:14:44,07/17/2015 03:14:44,,
140,ᠠᠪᡴᠠᡳ ᡠᠨᡨᡠᡥᡠᠨ,abkai untuhun,天空,,2,03/13/2017 02:14:44,07/17/2015 05:14:44,,
141,ᠠᠪᡴᠠᡳ ᡠᠰᡳᡥᠠ  ᡳ ᠪᡳᡨᡥᡝ,abkai usiha I bithe,天官书,,2,03/13/2017 03:14:44,07/17/2015 07:14:44,,
142,ᠠᠪᡴᠠᡳ ᠸᡝᡥᡳᠶᡝᡥᡝ,abkai wehiyehe,乾隆—高宗纯皇帝年号,,2,03/13/2017 04:14:44,07/17/2015 09:14:44,,
143,ᠠᠪᡴᠠᡳ ᠸᡝᠰᡳᡥᡠᠨ ᡝᠨᡩᡠᡵᡳ,abkai wesihun enduri,天宗,,2,03/13/2017 05:14:44,07/17/2015 11:14:44,,
144,ᠠᠪᡴᠠᡳ ᡧᡵᡩᡝᠵᡝᠨ ᡠᠰᡳᡥᠠ,abkai xrdejen usiha,帝车,,2,03/13/2017 06:14:44,07/17/2015 13:14:44,,
145,ᠠᠪᡴᠠᡳ ᡧᡠ,abkai xu,天文,,2,03/13/2017 07:14:44,07/17/2015 15:14:44,,
